task_id,domain,modality,algorithm,arm,episode,success,goal_reached,runtime_reported_invariants_hold,all_operations_valid,invalid_operations,decisions,expansions,termination,decision_cap,expansion_cap,decision_budget_fraction,expansion_budget_fraction,solution_unit_action_cost,common_cap,model_input_tokens,model_output_tokens,call_wall_seconds,episode_wall_seconds
matched-final/blocksworld-730060,blocksworld,text-state,best_first_width,exact_reference,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_width-exact_reference.json.gz,True,True,True,True,0,3,2,goal_reached,6,2,0.5,1.0,2,6,0,0,6.98138028383255e-05,0.015606554225087166
matched-final/blocksworld-730060,blocksworld,text-state,best_first_add_w3,pretrained_base,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_add_w3-pretrained_base.json.gz,False,False,False,False,1,1,0,deterministic_invalid_operation,8,2,0.125,0.0,,6,673,7,1.0149847641587257,1.0180463287979364
matched-final/blocksworld-730060,blocksworld,text-state,best_first_add_w3,process_sft,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_add_w3-process_sft.json.gz,True,True,True,True,0,4,2,goal_reached,8,2,0.5,1.0,2,6,2814,88,7.468838466331363,7.481206022202969
matched-final/blocksworld-730060,blocksworld,text-state,best_first_add_w3,random_valid,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_add_w3-random_valid.json.gz,True,True,True,True,0,4,2,goal_reached,8,2,0.5,1.0,2,6,0,0,0.00010432116687297821,0.00874924473464489
matched-final/blocksworld-730060,blocksworld,text-state,best_first_add_w3,exact_reference,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_add_w3-exact_reference.json.gz,True,True,True,True,0,4,2,goal_reached,8,2,0.5,1.0,2,6,0,0,8.359923958778381e-05,0.008831432089209557
matched-final/blocksworld-730060,blocksworld,text-state,best_first_add_greedy,pretrained_base,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_add_greedy-pretrained_base.json.gz,False,False,False,False,1,1,0,deterministic_invalid_operation,8,2,0.125,0.0,,6,673,7,1.011202258989215,1.0139755960553885
matched-final/blocksworld-730060,blocksworld,text-state,best_first_add_greedy,process_sft,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_add_greedy-process_sft.json.gz,True,True,True,True,0,4,2,goal_reached,8,2,0.5,1.0,2,6,2812,88,7.440309653058648,7.451244976371527
matched-final/blocksworld-730060,blocksworld,text-state,best_first_add_greedy,random_valid,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_add_greedy-random_valid.json.gz,True,True,True,True,0,4,2,goal_reached,8,2,0.5,1.0,2,6,0,0,8.657388389110565e-05,0.008499858900904655
matched-final/blocksworld-730060,blocksworld,text-state,best_first_add_greedy,exact_reference,outputs/matched_modalities/v5/evaluation/text-state/matched-final__blocksworld-730060/best_first_add_greedy-exact_reference.json.gz,True,True,True,True,0,4,2,goal_reached,8,2,0.5,1.0,2,6,0,0,7.664225995540619e-05,0.008312685415148735
matched-final/ferry-780004,ferry,text-state,bfs,pretrained_base,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/bfs-pretrained_base.json.gz,False,False,False,False,1,1,0,deterministic_invalid_operation,8,4,0.125,0.0,,8,852,79,4.276449348777533,4.279370727017522
matched-final/ferry-780004,ferry,text-state,bfs,process_sft,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/bfs-process_sft.json.gz,False,False,False,False,1,2,1,deterministic_invalid_operation,8,4,0.25,0.25,,8,1893,177,10.854786474257708,10.860979810357094
matched-final/ferry-780004,ferry,text-state,bfs,random_valid,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/bfs-random_valid.json.gz,True,True,True,True,0,4,4,goal_reached,8,4,0.5,1.0,4,8,0,0,0.00012587383389472961,0.012017561122775078
matched-final/ferry-780004,ferry,text-state,bfs,exact_reference,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/bfs-exact_reference.json.gz,True,True,True,True,0,4,4,goal_reached,8,4,0.5,1.0,4,8,0,0,9.698793292045593e-05,0.010939331725239754
matched-final/ferry-780004,ferry,text-state,best_first_width,pretrained_base,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_width-pretrained_base.json.gz,False,False,True,False,1,1,0,deterministic_invalid_operation,8,4,0.125,0.0,,8,719,177,8.15609223768115,8.15977175720036
matched-final/ferry-780004,ferry,text-state,best_first_width,process_sft,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_width-process_sft.json.gz,False,False,True,False,1,1,0,deterministic_invalid_operation,8,4,0.125,0.0,,8,719,68,4.16728419996798,4.170714458450675
matched-final/ferry-780004,ferry,text-state,best_first_width,random_valid,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_width-random_valid.json.gz,True,True,True,True,0,4,4,goal_reached,8,4,0.5,1.0,4,8,0,0,0.00011255964636802673,0.016405006870627403
matched-final/ferry-780004,ferry,text-state,best_first_width,exact_reference,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_width-exact_reference.json.gz,True,True,True,True,0,4,4,goal_reached,8,4,0.5,1.0,4,8,0,0,0.00010210089385509491,0.017212646082043648
matched-final/ferry-780004,ferry,text-state,best_first_add_w3,pretrained_base,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_add_w3-pretrained_base.json.gz,False,False,False,False,1,1,0,deterministic_invalid_operation,14,4,0.07142857142857142,0.0,,8,654,7,1.0181838646531105,1.0206842627376318
matched-final/ferry-780004,ferry,text-state,best_first_add_w3,process_sft,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_add_w3-process_sft.json.gz,True,True,True,True,0,7,4,goal_reached,14,4,0.5,1.0,4,8,4975,167,13.755826273933053,13.77626883238554
matched-final/ferry-780004,ferry,text-state,best_first_add_w3,random_valid,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_add_w3-random_valid.json.gz,True,True,True,True,0,7,4,goal_reached,14,4,0.5,1.0,4,8,0,0,0.00018153339624404907,0.01476391963660717
matched-final/ferry-780004,ferry,text-state,best_first_add_w3,exact_reference,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_add_w3-exact_reference.json.gz,True,True,True,True,0,7,4,goal_reached,14,4,0.5,1.0,4,8,0,0,0.00012392178177833557,0.013327628374099731
matched-final/ferry-780004,ferry,text-state,best_first_add_greedy,pretrained_base,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_add_greedy-pretrained_base.json.gz,False,False,False,False,1,1,0,deterministic_invalid_operation,14,4,0.07142857142857142,0.0,,8,654,7,1.0123178493231535,1.0147360563278198
matched-final/ferry-780004,ferry,text-state,best_first_add_greedy,process_sft,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_add_greedy-process_sft.json.gz,False,False,False,False,1,1,0,deterministic_invalid_operation,14,4,0.07142857142857142,0.0,,8,654,27,2.0763191618025303,2.078871527686715
matched-final/ferry-780004,ferry,text-state,best_first_add_greedy,random_valid,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_add_greedy-random_valid.json.gz,True,True,True,True,0,7,4,goal_reached,14,4,0.5,1.0,4,8,0,0,0.00015095621347427368,0.013588499277830124
matched-final/ferry-780004,ferry,text-state,best_first_add_greedy,exact_reference,outputs/matched_modalities/v5/evaluation/text-state/matched-final__ferry-780004/best_first_add_greedy-exact_reference.json.gz,True,True,True,True,0,7,4,goal_reached,14,4,0.5,1.0,4,8,0,0,0.00012560561299324036,0.013616403564810753
matched-final/storage-760000,storage,visual-state,bfs,pretrained_base,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/bfs-pretrained_base.json.gz,False,False,False,False,1,1,0,deterministic_invalid_operation,16,5,0.0625,0.0,,12,3623,27,6.956664506345987,8.281992623582482
matched-final/storage-760000,storage,visual-state,bfs,process_sft,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/bfs-process_sft.json.gz,False,False,False,False,1,1,0,deterministic_invalid_operation,16,5,0.0625,0.0,,12,3623,216,22.98996733315289,24.300295181572437
matched-final/storage-760000,storage,visual-state,bfs,random_valid,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/bfs-random_valid.json.gz,True,True,True,True,0,8,5,goal_reached,16,5,0.5,1.0,4,12,0,0,0.0002671312540769577,0.0535480622202158
matched-final/storage-760000,storage,visual-state,bfs,exact_reference,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/bfs-exact_reference.json.gz,True,True,True,True,0,8,5,goal_reached,16,5,0.5,1.0,4,12,0,0,0.00022555328905582428,0.046321647241711617
matched-final/storage-760000,storage,visual-state,best_first_width,pretrained_base,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_width-pretrained_base.json.gz,False,False,True,False,1,1,0,deterministic_invalid_operation,12,5,0.08333333333333333,0.0,,12,3062,244,18.908588519319892,18.916688941419125
matched-final/storage-760000,storage,visual-state,best_first_width,process_sft,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_width-process_sft.json.gz,False,False,True,False,1,1,0,deterministic_invalid_operation,12,5,0.08333333333333333,0.0,,12,3062,384,30.6650709528476,30.67300526611507
matched-final/storage-760000,storage,visual-state,best_first_width,random_valid,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_width-random_valid.json.gz,True,True,True,True,0,6,5,goal_reached,12,5,0.5,1.0,4,12,0,0,0.0001999400556087494,0.04836548492312431
matched-final/storage-760000,storage,visual-state,best_first_width,exact_reference,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_width-exact_reference.json.gz,True,True,True,True,0,6,5,goal_reached,12,5,0.5,1.0,4,12,0,0,0.00015892460942268372,0.046261949464678764
matched-final/storage-760000,storage,visual-state,best_first_add_w3,pretrained_base,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_add_w3-pretrained_base.json.gz,False,False,False,False,1,1,0,deterministic_invalid_operation,20,4,0.05,0.0,,12,2846,7,4.49156148172915,4.496573198586702
matched-final/storage-760000,storage,visual-state,best_first_add_w3,process_sft,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_add_w3-process_sft.json.gz,True,True,True,True,0,10,4,goal_reached,20,4,0.5,1.0,4,12,29777,363,66.81308142654598,66.90678352676332
matched-final/storage-760000,storage,visual-state,best_first_add_w3,random_valid,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_add_w3-random_valid.json.gz,True,True,True,True,0,10,4,goal_reached,20,4,0.5,1.0,4,12,0,0,0.000283997505903244,0.04237028770148754
matched-final/storage-760000,storage,visual-state,best_first_add_w3,exact_reference,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_add_w3-exact_reference.json.gz,True,True,True,True,0,10,4,goal_reached,20,4,0.5,1.0,4,12,0,0,0.00022843480110168457,0.04295099712908268
matched-final/storage-760000,storage,visual-state,best_first_add_greedy,pretrained_base,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_add_greedy-pretrained_base.json.gz,False,False,False,False,1,1,0,deterministic_invalid_operation,20,4,0.05,0.0,,12,2844,28,5.698189862072468,5.703152529895306
matched-final/storage-760000,storage,visual-state,best_first_add_greedy,process_sft,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_add_greedy-process_sft.json.gz,True,True,True,True,0,10,4,goal_reached,20,4,0.5,1.0,4,12,29749,363,66.78382558189332,66.83546068705618
matched-final/storage-760000,storage,visual-state,best_first_add_greedy,random_valid,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_add_greedy-random_valid.json.gz,True,True,True,True,0,10,4,goal_reached,20,4,0.5,1.0,4,12,0,0,0.0002543386071920395,0.0401462446898222
matched-final/storage-760000,storage,visual-state,best_first_add_greedy,exact_reference,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__storage-760000/best_first_add_greedy-exact_reference.json.gz,True,True,True,True,0,10,4,goal_reached,20,4,0.5,1.0,4,12,0,0,0.00021385587751865387,0.04116694629192352
matched-final/blocksworld-730060,blocksworld,visual-state,bfs,pretrained_base,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/bfs-pretrained_base.json.gz,False,False,False,False,1,1,0,deterministic_invalid_operation,10,3,0.1,0.0,,6,2364,87,7.839397396892309,7.851667884737253
matched-final/blocksworld-730060,blocksworld,visual-state,bfs,process_sft,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/bfs-process_sft.json.gz,False,False,False,False,1,3,1,deterministic_invalid_operation,10,3,0.3,0.3333333333333333,,6,7675,324,29.04519882798195,29.067749101668596
matched-final/blocksworld-730060,blocksworld,visual-state,bfs,random_valid,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/bfs-random_valid.json.gz,False,False,True,True,0,5,3,expansion_budget_exhausted,10,3,0.5,1.0,,6,0,0,0.00017471425235271454,0.02161576598882675
matched-final/blocksworld-730060,blocksworld,visual-state,bfs,exact_reference,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/bfs-exact_reference.json.gz,True,True,True,True,0,5,3,goal_reached,10,3,0.5,1.0,2,6,0,0,0.00014939717948436737,0.026174144819378853
matched-final/blocksworld-730060,blocksworld,visual-state,best_first_width,pretrained_base,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_width-pretrained_base.json.gz,False,False,True,False,1,1,0,deterministic_invalid_operation,6,2,0.16666666666666666,0.0,,6,2225,205,14.084308609366417,14.092293513938785
matched-final/blocksworld-730060,blocksworld,visual-state,best_first_width,process_sft,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_width-process_sft.json.gz,False,False,True,False,1,1,0,deterministic_invalid_operation,6,2,0.16666666666666666,0.0,,6,2225,384,24.735200436785817,24.742336379364133
matched-final/blocksworld-730060,blocksworld,visual-state,best_first_width,random_valid,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_width-random_valid.json.gz,False,False,True,True,0,4,2,expansion_budget_exhausted,6,2,0.6666666666666666,1.0,,6,0,0,0.00012948550283908844,0.024558616802096367
matched-final/blocksworld-730060,blocksworld,visual-state,best_first_width,exact_reference,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_width-exact_reference.json.gz,True,True,True,True,0,3,2,goal_reached,6,2,0.5,1.0,2,6,0,0,7.165595889091492e-05,0.020265156403183937
matched-final/blocksworld-730060,blocksworld,visual-state,best_first_add_w3,pretrained_base,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_add_w3-pretrained_base.json.gz,False,False,False,False,1,1,0,deterministic_invalid_operation,8,2,0.125,0.0,,6,2035,7,3.2346038445830345,3.238555336371064
matched-final/blocksworld-730060,blocksworld,visual-state,best_first_add_w3,process_sft,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_add_w3-process_sft.json.gz,False,False,False,False,1,2,0,deterministic_invalid_operation,8,2,0.25,0.0,,6,4091,40,7.941561955958605,7.948636593297124
matched-final/blocksworld-730060,blocksworld,visual-state,best_first_add_w3,random_valid,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_add_w3-random_valid.json.gz,True,True,True,True,0,4,2,goal_reached,8,2,0.5,1.0,2,6,0,0,0.0001117512583732605,0.01173270121216774
matched-final/blocksworld-730060,blocksworld,visual-state,best_first_add_w3,exact_reference,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_add_w3-exact_reference.json.gz,True,True,True,True,0,4,2,goal_reached,8,2,0.5,1.0,2,6,0,0,8.778274059295654e-05,0.012261934578418732
matched-final/blocksworld-730060,blocksworld,visual-state,best_first_add_greedy,pretrained_base,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_add_greedy-pretrained_base.json.gz,False,False,False,False,1,1,0,deterministic_invalid_operation,8,2,0.125,0.0,,6,2035,7,3.245172541588545,3.249053968116641
matched-final/blocksworld-730060,blocksworld,visual-state,best_first_add_greedy,process_sft,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_add_greedy-process_sft.json.gz,True,True,True,True,0,4,2,goal_reached,8,2,0.5,1.0,2,6,8276,88,16.36499447003007,16.381422750651836
matched-final/blocksworld-730060,blocksworld,visual-state,best_first_add_greedy,random_valid,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_add_greedy-random_valid.json.gz,True,True,True,True,0,4,2,goal_reached,8,2,0.5,1.0,2,6,0,0,0.00012943707406520844,0.01286739856004715
matched-final/blocksworld-730060,blocksworld,visual-state,best_first_add_greedy,exact_reference,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__blocksworld-730060/best_first_add_greedy-exact_reference.json.gz,True,True,True,True,0,4,2,goal_reached,8,2,0.5,1.0,2,6,0,0,8.94051045179367e-05,0.012923989444971085
matched-final/ferry-780004,ferry,visual-state,bfs,pretrained_base,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__ferry-780004/bfs-pretrained_base.json.gz,False,False,False,False,1,1,0,deterministic_invalid_operation,8,4,0.125,0.0,,8,2211,26,4.5440584402531385,4.5728188417851925
matched-final/ferry-780004,ferry,visual-state,bfs,process_sft,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__ferry-780004/bfs-process_sft.json.gz,True,True,True,True,0,4,4,goal_reached,8,4,0.5,1.0,4,8,9782,341,32.89959030225873,32.928958006203175
matched-final/ferry-780004,ferry,visual-state,bfs,random_valid,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__ferry-780004/bfs-random_valid.json.gz,True,True,True,True,0,4,4,goal_reached,8,4,0.5,1.0,4,8,0,0,0.0001384355127811432,0.015148047357797623
matched-final/ferry-780004,ferry,visual-state,bfs,exact_reference,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__ferry-780004/bfs-exact_reference.json.gz,True,True,True,True,0,4,4,goal_reached,8,4,0.5,1.0,4,8,0,0,0.00011700950562953949,0.01817145384848118
matched-final/ferry-780004,ferry,visual-state,best_first_width,pretrained_base,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__ferry-780004/best_first_width-pretrained_base.json.gz,False,False,True,False,1,1,0,deterministic_invalid_operation,8,4,0.125,0.0,,8,2078,93,7.7492389883846045,7.753965495154262
matched-final/ferry-780004,ferry,visual-state,best_first_width,process_sft,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__ferry-780004/best_first_width-process_sft.json.gz,False,False,True,False,1,1,0,deterministic_invalid_operation,8,4,0.125,0.0,,8,2078,384,24.166145518422127,24.170921297743917
matched-final/ferry-780004,ferry,visual-state,best_first_width,random_valid,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__ferry-780004/best_first_width-random_valid.json.gz,True,True,True,True,0,4,4,goal_reached,8,4,0.5,1.0,4,8,0,0,0.00013070181012153625,0.023238470777869225
matched-final/ferry-780004,ferry,visual-state,best_first_width,exact_reference,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__ferry-780004/best_first_width-exact_reference.json.gz,True,True,True,True,0,4,4,goal_reached,8,4,0.5,1.0,4,8,0,0,0.00010648369789123535,0.02367650344967842
matched-final/ferry-780004,ferry,visual-state,best_first_add_w3,pretrained_base,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__ferry-780004/best_first_add_w3-pretrained_base.json.gz,False,False,False,False,1,1,0,deterministic_invalid_operation,14,4,0.07142857142857142,0.0,,8,2013,7,3.242782248184085,3.246014427393675
matched-final/ferry-780004,ferry,visual-state,best_first_add_w3,process_sft,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__ferry-780004/best_first_add_w3-process_sft.json.gz,True,True,True,True,0,7,4,goal_reached,14,4,0.5,1.0,4,8,14576,167,29.849805284291506,29.883769432082772
matched-final/ferry-780004,ferry,visual-state,best_first_add_w3,random_valid,outputs/matched_modalities/v5/evaluation/visual-state/matched-final__ferry-780004/best_first_add_w3-random_valid.json.gz,True,True,True,True,0,7,4,goal_reached,14,4,0.5,1.0,4,8,0,0,0.0001963730901479721,0.02072836458683014
